"ReferenceID","Authors","Year","Title","Details"
"Neu-Ref-408","van der Weele, H. W.","1907","Notizen ueber Sialiden und Beschreibung einiger neuen Arten.","Notes from the Leyden Museum 28:227-264."
"Neu-Ref-420","van der Weele, H. W.","1908","Ascalaphiden.","Collections Zoologiques du Baron Edm. de Selys Longchamps, Catalogue Systématique et Descriptif 8:1-326."
"Neu-Ref-422","van der Weele, H. W.","1909","A new and curious Burmese ascalaphid from the Genoa Museum (Glyptobasis spinicornis).","Notes from the Leyden Museum 30:245-247."
"Neu-Ref-423","van der Weele, H. W.","1909","Les Planipennia recueillis par le Prof. Voeltzkow a Madagascar et dans les iles environnantes.","Bulletin Scientifique [or Biologique] de la France et de la Belgique 42:61-68."
"Neu-Ref-424","van der Weele, H. W.; Jacobson, E.","1909","Mecoptera and Planipennia of Insulinde, with biological notes.","Notes from the Leyden Museum 31:1-100."
"Neu-Ref-425","van der Weele, H. W.","1909","New genera and species of Megaloptera Latr.","Notes from the Leyden Museum 30:249-264."
"Neu-Ref-428","Westwood, J. O.","1836","[Note on three species of Nemoptera.]","Transactions of the [Royal] Entomological Society of London (Proceedings) 1[=(1)1]:lxxv [=75]."
"Neu-Ref-432","Westwood, J. O.","1841","A monograph on the genus Nematoptera.","Proceedings of the Zoological Society of London 9:9-14."
"Neu-Ref-435","Westwood, J. O.","1848","[Nemoptera huttii, n. sp. from Western Australia.]","Transactions of the [Royal] Entomological Society of London (Proceedings) 5[=(1)5]:xxvi-xxvii [=26-27]."
"Neu-Ref-437","Westwood, J. O.","1852","On the genus Mantispa, with descriptions of various new species.","Transactions of the [Royal] Entomological Society of London 6[=(N.S.)1]:252-270."
"Neu-Ref-438","Westwood, J. O.","1854","Contributions to fossil entomology.","Quarterly Journal of the Geological Society of London 10:378-396."
"Neu-Ref-439","Westwood, J. O.","1867","Descriptions of new species of Mantispidae in the Oxford and British Museums.","Transactions of the [Royal] Entomological Society of London 15[=(3)5]:501-508."
"Neu-Ref-443","Hagen, H. A.","1852","[book review] Symbolae ad Monographiam generis Chrysopae Leach, sexaginta picturarum tabulis, in lapide acu delineatis, quarum quinquaginta quatuor coloribus impressae sunt illustratae a G. T. Schneider. Vratislaviae 1850. 8. 178 pag.","Stettiner Entomologische Zeitung 13:30-31, 35-45."
"Neu-Ref-444","Hagen, H. A.","1853","Hr. Peters berichtete über die von ihm gesammelten und von Hrn. Dr. Hermann Hagen bearbeiteten Neuropteren aus Mossambique.","Bericht über die zur Bekanntmachung Geeigneten Verhandlungen der Königl. Preuss. Akademie der Wissenschaften zu Berlin 1853:479-482."
"Neu-Ref-446","Hagen, H. A.","1858","Synopsis der Neuroptera Ceylons [Pars I].","Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft in Wien 8:471-488."
"Neu-Ref-448","Hagen, H. A.","1858","Russlands Neuropteren.","Stettiner Entomologische Zeitung 19:110-134."
"Neu-Ref-451","Hagen, H. A.","1859","Synopsis der Neuroptera Ceylons (Pars II.).","Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft in Wien 9:199-212."
