"ID","ReferenceType","ReferenceID"
"Neu-285","NomRef","Neu-Ref-717"
"Neu-287","NomRef","Neu-Ref-2956"
"Neu-288","NomRef","Neu-Ref-831"
"Neu-289","NomRef","Neu-Ref-2559"
"Neu-291","NomRef","Neu-Ref-96"
"Neu-293","NomRef","Neu-Ref-624"
"Neu-294","NomRef","Neu-Ref-123"
"Neu-295","NomRef","Neu-Ref-491"
"Neu-297","NomRef","Neu-Ref-455"
"Neu-299","NomRef","Neu-Ref-443"
"Neu-300","NomRef","Neu-Ref-6194"
"Neu-302","NomRef","Neu-Ref-778"
"Neu-303","NomRef","Neu-Ref-5123"
"Neu-305","NomRef","Neu-Ref-491"
"Neu-306","NomRef","Neu-Ref-3007"
"Neu-309","NomRef","Neu-Ref-43"
"Neu-311","NomRef","Neu-Ref-123"
"Neu-312","NomRef","Neu-Ref-891"
"Neu-314","NomRef","Neu-Ref-2226"
"Neu-315","NomRef","Neu-Ref-161"
"Neu-318","NomRef","Neu-Ref-14133"
"Neu-319","NomRef","Neu-Ref-112"
"Neu-320","NomRef","Neu-Ref-67"
"Neu-321","NomRef","Neu-Ref-806"
"Neu-324","NomRef","Neu-Ref-116"
"Neu-325","NomRef","Neu-Ref-981"
"Neu-326","NomRef","Neu-Ref-1284"
"Neu-327","NomRef","Neu-Ref-859"
"Neu-328","NomRef","Neu-Ref-11274"
"Neu-329","NomRef","Neu-Ref-15408"
"Neu-330","NomRef","Neu-Ref-1313"
"Neu-331","NomRef","Neu-Ref-5856"
"Neu-333","NomRef","Neu-Ref-76"
"Neu-335","NomRef","Neu-Ref-838"
"Neu-336","NomRef","Neu-Ref-6053"
"Neu-337","NomRef","Neu-Ref-1342"
"Neu-338","NomRef","Neu-Ref-6049"
"Neu-339","NomRef","Neu-Ref-525"
"Neu-342","NomRef","Neu-Ref-424"
"Neu-343","NomRef","Neu-Ref-15641"
"Neu-344","NomRef","Neu-Ref-15641"
"Neu-347","NomRef","Neu-Ref-975"
"Neu-348","NomRef","Neu-Ref-852"
"Neu-349","NomRef","Neu-Ref-15641"
"Neu-350","NomRef","Neu-Ref-15641"
"Neu-351","NomRef","Neu-Ref-15641"
"Neu-352","NomRef","Neu-Ref-15641"
"Neu-353","NomRef","Neu-Ref-15641"
"Neu-354","NomRef","Neu-Ref-784"
"Neu-358","NomRef","Neu-Ref-2956"
"Neu-360","NomRef","Neu-Ref-92"
"Neu-362","NomRef","Neu-Ref-405"
"Neu-366","NomRef","Neu-Ref-4309"
"Neu-368","NomRef","Neu-Ref-2557"
"Neu-369","NomRef","Neu-Ref-6696"
"Neu-370","NomRef","Neu-Ref-4495"
"Neu-371","NomRef","Neu-Ref-824"
"Neu-372","NomRef","Neu-Ref-6194"
"Neu-374","NomRef","Neu-Ref-593"
"Neu-375","NomRef","Neu-Ref-3615"
"Neu-376","NomRef","Neu-Ref-597"
"Neu-378","NomRef","Neu-Ref-796"
"Neu-379","NomRef","Neu-Ref-5641"
"Neu-381","NomRef","Neu-Ref-2237"
"Neu-382","NomRef","Neu-Ref-4121"
"Neu-383","NomRef","Neu-Ref-4"
"Neu-386","NomRef","Neu-Ref-1056"
"Neu-387","NomRef","Neu-Ref-5873"
"Neu-390","NomRef","Neu-Ref-578"
"Neu-391","NomRef","Neu-Ref-6050"
"Neu-392","NomRef","Neu-Ref-838"
"Neu-393","NomRef","Neu-Ref-5313"
"Neu-395","NomRef","Neu-Ref-3468"
"Neu-396","NomRef","Neu-Ref-277"
"Neu-397","NomRef","Neu-Ref-1861"
"Neu-400","NomRef","Neu-Ref-818"
"Neu-401","NomRef","Neu-Ref-5314"
"Neu-402","NomRef","Neu-Ref-3681"
"Neu-408","NomRef","Neu-Ref-3285"
"Neu-410","NomRef","Neu-Ref-1771"
"Neu-411","NomRef","Neu-Ref-5205"
"Neu-412","NomRef","Neu-Ref-6712"
"Neu-413","NomRef","Neu-Ref-1594"
"Neu-414","NomRef","Neu-Ref-210"
"Neu-415","NomRef","Neu-Ref-282"
"Neu-416","NomRef","Neu-Ref-4496"
"Neu-417","NomRef","Neu-Ref-148"
"Neu-418","NomRef","Neu-Ref-5314"
"Neu-419","NomRef","Neu-Ref-2026"
"Neu-422","NomRef","Neu-Ref-446"
"Neu-424","NomRef","Neu-Ref-178"
"Neu-425","NomRef","Neu-Ref-671"
"Neu-426","NomRef","Neu-Ref-249"
"Neu-427","NomRef","Neu-Ref-6194"
"Neu-429","NomRef","Neu-Ref-6696"
"Neu-431","NomRef","Neu-Ref-547"
"Neu-432","NomRef","Neu-Ref-5084"
"Neu-433","NomRef","Neu-Ref-4141"
"Neu-434","NomRef","Neu-Ref-9177"
"Neu-435","NomRef","Neu-Ref-9183"
"Neu-436","NomRef","Neu-Ref-116"
"Neu-438","NomRef","Neu-Ref-50"
"Neu-439","NomRef","Neu-Ref-7430"
"Neu-440","NomRef","Neu-Ref-14898"
"Neu-441","NomRef","Neu-Ref-14876"
"Neu-442","NomRef","Neu-Ref-595"
"Neu-443","NomRef","Neu-Ref-595"
"Neu-444","NomRef","Neu-Ref-6194"
"Neu-446","NomRef","Neu-Ref-6677"
"Neu-447","NomRef","Neu-Ref-6050"
"Neu-449","NomRef","Neu-Ref-7124"
"Neu-450","NomRef","Neu-Ref-4119"
"Neu-452","NomRef","Neu-Ref-420"
"Neu-455","NomRef","Neu-Ref-353"
"Neu-456","NomRef","Neu-Ref-612"
"Neu-457","NomRef","Neu-Ref-7492"
"Neu-458","NomRef","Neu-Ref-603"
"Neu-459","NomRef","Neu-Ref-603"
"Neu-460","NomRef","Neu-Ref-4464"
"Neu-461","NomRef","Neu-Ref-4121"
"Neu-462","NomRef","Neu-Ref-187"
"Neu-463","NomRef","Neu-Ref-8589"
"Neu-466","NomRef","Neu-Ref-3468"
"Neu-467","NomRef","Neu-Ref-3468"
"Neu-468","NomRef","Neu-Ref-342"
"Neu-469","NomRef","Neu-Ref-195"
"Neu-473","NomRef","Neu-Ref-638"
"Neu-474","NomRef","Neu-Ref-602"
"Neu-475","NomRef","Neu-Ref-3593"
"Neu-476","NomRef","Neu-Ref-2559"
"Neu-477","NomRef","Neu-Ref-353"
"Neu-478","NomRef","Neu-Ref-420"
"Neu-479","NomRef","Neu-Ref-29"
"Neu-480","NomRef","Neu-Ref-4490"
"Neu-481","NomRef","Neu-Ref-5061"
"Neu-482","NomRef","Neu-Ref-5863"
"Neu-483","NomRef","Neu-Ref-911"
"Neu-484","NomRef","Neu-Ref-2558"
"Neu-485","NomRef","Neu-Ref-572"
"Neu-487","NomRef","Neu-Ref-1409"
"Neu-488","NomRef","Neu-Ref-671"
"Neu-489","NomRef","Neu-Ref-975"
"Neu-491","NomRef","Neu-Ref-793"
"Neu-492","NomRef","Neu-Ref-5863"
"Neu-493","NomRef","Neu-Ref-230"
"Neu-494","NomRef","Neu-Ref-230"
"Neu-495","NomRef","Neu-Ref-5579"
"Neu-496","NomRef","Neu-Ref-6194"
"Neu-498","NomRef","Neu-Ref-6"
"Neu-499","NomRef","Neu-Ref-1048"
"Neu-502","NomRef","Neu-Ref-10"
"Neu-503","NomRef","Neu-Ref-70"
"Neu-504","NomRef","Neu-Ref-46"
"Neu-505","NomRef","Neu-Ref-67"
"Neu-506","NomRef","Neu-Ref-4490"
"Neu-507","NomRef","Neu-Ref-6194"
"Neu-510","NomRef","Neu-Ref-4147"
"Neu-511","NomRef","Neu-Ref-322"
"Neu-512","NomRef","Neu-Ref-697"
"Neu-513","NomRef","Neu-Ref-4495"
"Neu-514","NomRef","Neu-Ref-475"
"Neu-515","NomRef","Neu-Ref-2397"
"Neu-517","NomRef","Neu-Ref-536"
"Neu-520","NomRef","Neu-Ref-1411"
"Neu-523","NomRef","Neu-Ref-1083"
"Neu-524","NomRef","Neu-Ref-1208"
"Neu-526","NomRef","Neu-Ref-4289"
"Neu-527","NomRef","Neu-Ref-3168"
"Neu-528","NomRef","Neu-Ref-3517"
"Neu-532","NomRef","Neu-Ref-1677"
"Neu-533","NomRef","Neu-Ref-853"
"Neu-534","NomRef","Neu-Ref-5314"
"Neu-537","NomRef","Neu-Ref-674"
"Neu-538","NomRef","Neu-Ref-1850"
"Neu-539","NomRef","Neu-Ref-775"
"Neu-541","NomRef","Neu-Ref-150"
"Neu-543","NomRef","Neu-Ref-943"
"Neu-544","NomRef","Neu-Ref-2559"
"Neu-545","NomRef","Neu-Ref-4494"
"Neu-546","NomRef","Neu-Ref-116"
"Neu-547","NomRef","Neu-Ref-2245"
"Neu-548","NomRef","Neu-Ref-5313"
"Neu-549","NomRef","Neu-Ref-4528"
"Neu-550","NomRef","Neu-Ref-549"
"Neu-551","NomRef","Neu-Ref-1431"
"Neu-552","NomRef","Neu-Ref-6049"
"Neu-553","NomRef","Neu-Ref-76"
"Neu-554","NomRef","Neu-Ref-5579"
"Neu-556","NomRef","Neu-Ref-891"
"Neu-557","NomRef","Neu-Ref-537"
"Neu-560","NomRef","Neu-Ref-840"
"Neu-561","NomRef","Neu-Ref-964"
"Neu-562","NomRef","Neu-Ref-3709"
"Neu-563","NomRef","Neu-Ref-2974"
"Neu-564","NomRef","Neu-Ref-1146"
"Neu-565","NomRef","Neu-Ref-3868"
"Neu-567","NomRef","Neu-Ref-4496"
"Neu-568","NomRef","Neu-Ref-14537"
"Neu-569","NomRef","Neu-Ref-14838"
"Neu-570","NomRef","Neu-Ref-14838"
"Neu-571","NomRef","Neu-Ref-14838"
"Neu-572","NomRef","Neu-Ref-14626"
"Neu-573","NomRef","Neu-Ref-831"
"Neu-574","NomRef","Neu-Ref-420"
"Neu-575","NomRef","Neu-Ref-342"
"Neu-576","NomRef","Neu-Ref-856"
"Neu-577","NomRef","Neu-Ref-6049"
"Neu-579","NomRef","Neu-Ref-67"
"Neu-581","NomRef","Neu-Ref-6194"
"Neu-582","NomRef","Neu-Ref-6194"
"Neu-583","NomRef","Neu-Ref-6194"
"Neu-585","NomRef","Neu-Ref-638"
"Neu-586","NomRef","Neu-Ref-3615"
"Neu-587","NomRef","Neu-Ref-1101"
"Neu-588","NomRef","Neu-Ref-1099"
"Neu-589","NomRef","Neu-Ref-5850"
"Neu-590","NomRef","Neu-Ref-1426"
"Neu-592","NomRef","Neu-Ref-122"
"Neu-593","NomRef","Neu-Ref-455"
"Neu-594","NomRef","Neu-Ref-4528"
"Neu-595","NomRef","Neu-Ref-906"
"Neu-596","NomRef","Neu-Ref-1850"
"Neu-597","NomRef","Neu-Ref-6194"
"Neu-598","NomRef","Neu-Ref-4496"
"Neu-599","NomRef","Neu-Ref-4121"
"Neu-600","NomRef","Neu-Ref-4126"
"Neu-602","NomRef","Neu-Ref-5887"
"Neu-603","NomRef","Neu-Ref-494"
"Neu-604","NomRef","Neu-Ref-595"
"Neu-605","NomRef","Neu-Ref-2974"
"Neu-607","NomRef","Neu-Ref-6194"
"Neu-608","NomRef","Neu-Ref-574"
"Neu-609","NomRef","Neu-Ref-133"
"Neu-611","NomRef","Neu-Ref-2226"
"Neu-612","NomRef","Neu-Ref-2041"
"Neu-615","NomRef","Neu-Ref-106"
"Neu-616","NomRef","Neu-Ref-461"
"Neu-618","NomRef","Neu-Ref-1419"
"Neu-619","NomRef","Neu-Ref-4979"
"Neu-620","NomRef","Neu-Ref-14389"
"Neu-621","NomRef","Neu-Ref-1771"
"Neu-623","NomRef","Neu-Ref-5123"
"Neu-624","NomRef","Neu-Ref-193"
"Neu-625","NomRef","Neu-Ref-981"
"Neu-626","NomRef","Neu-Ref-491"
"Neu-630","NomRef","Neu-Ref-280"
"Neu-631","NomRef","Neu-Ref-1146"
"Neu-632","NomRef","Neu-Ref-5535"
"Neu-634","NomRef","Neu-Ref-225"
"Neu-635","NomRef","Neu-Ref-5874"
"Neu-636","NomRef","Neu-Ref-947"
"Neu-637","NomRef","Neu-Ref-595"
"Neu-639","NomRef","Neu-Ref-4121"
"Neu-640","NomRef","Neu-Ref-2382"
"Neu-641","NomRef","Neu-Ref-5314"
"Neu-643","NomRef","Neu-Ref-4"
"Neu-646","NomRef","Neu-Ref-1240"
"Neu-649","NomRef","Neu-Ref-425"
"Neu-650","NomRef","Neu-Ref-425"
"Neu-651","NomRef","Neu-Ref-425"
"Neu-652","NomRef","Neu-Ref-346"
"Neu-653","NomRef","Neu-Ref-7337"
"Neu-654","NomRef","Neu-Ref-14955"
"Neu-655","NomRef","Neu-Ref-15010"
"Neu-656","NomRef","Neu-Ref-15010"
"Neu-657","NomRef","Neu-Ref-15010"
"Neu-658","NomRef","Neu-Ref-15010"
"Neu-659","NomRef","Neu-Ref-15010"
"Neu-660","NomRef","Neu-Ref-15010"
"Neu-661","NomRef","Neu-Ref-15010"
"Neu-662","NomRef","Neu-Ref-6194"
"Neu-663","NomRef","Neu-Ref-626"
"Neu-664","NomRef","Neu-Ref-5873"
"Neu-665","NomRef","Neu-Ref-5180"
"Neu-666","NomRef","Neu-Ref-213"
"Neu-667","NomRef","Neu-Ref-4476"
"Neu-668","NomRef","Neu-Ref-5815"
"Neu-669","NomRef","Neu-Ref-112"
"Neu-670","NomRef","Neu-Ref-90"
"Neu-671","NomRef","Neu-Ref-4015"
"Neu-672","NomRef","Neu-Ref-455"
"Neu-673","NomRef","Neu-Ref-2304"
"Neu-674","NomRef","Neu-Ref-1293"
"Neu-675","NomRef","Neu-Ref-122"
"Neu-676","NomRef","Neu-Ref-968"
"Neu-677","NomRef","Neu-Ref-1991"
"Neu-679","NomRef","Neu-Ref-455"
"Neu-680","NomRef","Neu-Ref-643"
"Neu-683","NomRef","Neu-Ref-73"
"Neu-685","NomRef","Neu-Ref-778"
"Neu-686","NomRef","Neu-Ref-2556"
"Neu-687","NomRef","Neu-Ref-14127"
"Neu-688","NomRef","Neu-Ref-14127"
"Neu-689","NomRef","Neu-Ref-14127"
"Neu-691","NomRef","Neu-Ref-1008"
"Neu-692","NomRef","Neu-Ref-2556"
"Neu-693","NomRef","Neu-Ref-171"
"Neu-694","NomRef","Neu-Ref-130"
"Neu-697","NomRef","Neu-Ref-4137"
"Neu-699","NomRef","Neu-Ref-116"
"Neu-700","NomRef","Neu-Ref-2972"
"Neu-701","NomRef","Neu-Ref-2822"
"Neu-703","NomRef","Neu-Ref-933"
"Neu-704","NomRef","Neu-Ref-420"
"Neu-705","NomRef","Neu-Ref-4495"
"Neu-707","NomRef","Neu-Ref-14185"
"Neu-708","NomRef","Neu-Ref-4121"
"Neu-709","NomRef","Neu-Ref-505"
"Neu-710","NomRef","Neu-Ref-5579"
"Neu-711","NomRef","Neu-Ref-1658"
"Neu-712","NomRef","Neu-Ref-5856"
"Neu-713","NomRef","Neu-Ref-569"
"Neu-714","NomRef","Neu-Ref-1339"
"Neu-715","NomRef","Neu-Ref-73"
"Neu-716","NomRef","Neu-Ref-6194"
"Neu-718","NomRef","Neu-Ref-164"
"Neu-720","NomRef","Neu-Ref-425"
"Neu-721","NomRef","Neu-Ref-4464"
"Neu-722","NomRef","Neu-Ref-6696"
"Neu-723","NomRef","Neu-Ref-879"
